Angle,Speed
59.2645122980799,32.84635700293947
58.33278357056382,33.08421190979272
59.11505466927139,32.88409281086438
52.750036422919294,34.65206402770213
57.74528947313285,33.237443642062075
57.74528947313285,33.237443642062075
41.39872188277656,38.84788128699579
41.90594194108289,38.622510185211176
37.23483398157467,40.87676316147219
55.53918372862823,33.83653281080954
54.46232220802562,34.14333322539962
51.34019174590991,35.09147383659177
31.487469364213972,44.339124365100865
47.763857370912554,36.298726762652784
50.59933933652057,35.33027213358947
47.00253313182688,36.57457627650699
44.548861453212716,37.51421054809251
43.26429541107161,38.039545272669876
39.80557109226519,39.58487633347212
37.98349825527709,40.48648391149144
-3.532294583890888,131.55956523721133
32.30733445488211,43.78751823821716
29.475889003245747,45.79129626863912
27.859650695242273,47.073022420494034
-17.152421740211835,59.808821687717085
-16.504361381755032,60.96329123471201
-19.06919353734814,56.748381534937046
-17.35402463626133,59.46303433147407
-26.90609345593684,47.88396585453958
-26.56505117707799,48.18475592579794
-26.56505117707799,48.18475592579794
-28.35496178532405,46.668348728087906
-17.987334652061463,58.4151572379983
-55.25119875081745,33.91762317953612
-61.76808174133646,32.23692504494804
-61.33604288971847,32.33912789822541
-61.927513064147064,32.199511697613005
-62.99869497302157,31.952266404744275
-22.680559607024918,52.08458875240437
-43.806510576017956,37.81483354359863
-63.99665415548856,31.728203093134788
31.20051460398063,44.537443537252294
41.84515713520802,38.649291849660926
-67.57413807864822,30.971382348508047
46.254451622681536,36.852650917077234
-65.85445803957836,31.326442859873
-68.10180719436102,30.86552116370972
-69.65058472262467,30.562806431731232
-64.69399403009729,31.57510669968468
-5.477368728828878,105.66063174450993
-8.455027677177455,85.06600647126277
-14.400021306791047,65.23891685647844
-19.358994175694733,56.32601154608599
-23.74949449286676,50.91504141106585
-28.393019421383002,46.63770324734553
-32.27564431457762,43.808437513744394
-36.2538377374448,41.40703622281714
-39.57940471623766,39.69325450243729
-42.236142629087425,38.47808488610983
-45.374476886722846,37.18904723186108
-47.86240522611175,36.26353255750276
-50.072132872514516,35.50366306192719
-52.40372885278802,34.75822512060785
-54.86580694308435,34.027228118276106
-56.42406734200111,33.591617284793436
-57.95276451337551,33.18303671430176
-59.22959182121343,32.855159766970715
-60.524110996754246,32.53448920682131
-61.55707137563664,32.28669162128858
-62.68110048985125,32.0248317666736
-63.72578784527258,31.78843301486933
-64.27954286834157,31.665757994922245
-65.33057108153679,31.437771834238045
-66.18617644039915,31.25672734813703
-66.87620811163075,31.113600117948526
-67.42297300996853,31.00197120604806
-68.04754750805961,30.87634164636298
-68.54344486743668,30.77799853323327
-69.11101950255093,30.66693589654035
-69.38417829765714,30.614044399442303
-69.82455476918335,30.52952970153414
-70.24724807562802,30.449273878379348
-70.65325898483556,30.3729720145889
-70.96668358978064,30.314590266806192
-71.41700039673367,30.23149277408369
-71.71084164999723,30.17776200818506
-71.92539724046523,30.138772012284658
-72.41802705746045,30.050016287398194
-72.60667785308797,30.0163078425555
-72.92897870868092,29.959073716914027
-73.3212112380088,29.890019613059003
-73.82380663839163,29.802483460483945
-73.94297096315441,29.781883260578166
-74.33422989028256,29.71465724225994
-74.55113670043175,29.677658255014165
-74.71000864177603,29.65067974439989
-74.62374875117382,29.66531511815903
-74.62374875117382,29.66531511815903
-74.86572186998123,29.624336469981785
-75.16803297933424,29.573469629553124
-75.31480296287847,29.54890542227206
-75.26619628104913,29.55703103110046
-75.21727395738432,29.565218865676176
-75.11847029685944,29.58178403674756
-74.83026987681484,29.630325594450923
-74.76225945216095,29.64182916520196
-74.4974612083684,29.68679615900809
-74.1676133795778,29.74320836121094
-73.94001269283936,29.782393951488597
-73.79097507219203,29.808169475227068
-73.4879282455943,29.86086551151282
-73.17366736922784,29.91591868222152
-72.78088394303666,29.9853169416184
-72.59069725304315,30.019157310605287
-72.16498505733193,30.095473317864194
-71.64216523484015,30.190285393680913
-71.25024236968889,30.262157864691705
-70.75812172197561,30.353389008043376
-70.41600622975179,30.417466096156915
-69.88036685918172,30.518884498421706
-69.41208838797755,30.608660479326907
-69.08319619665727,30.672343592911485
-68.46607586967372,30.793261036710923
-67.81332210655202,30.92322175275439
-67.40365548557807,31.00588866482559
-66.80140948635182,31.12899278680622
-65.47515711400968,31.406895116565877
-64.63783305106881,31.58733290203741
-63.74549201242792,31.784037018788222
-63.11752392916952,31.925273822479525
-62.62801936781966,32.03702028466044
-61.598104392861046,32.27699168549945
-60.871178611457026,32.45044825648814
-59.51426629366844,32.78364878887858
-58.25723884658109,33.10377268966183
-57.01147838636544,33.432486442436016
-55.58163552094379,33.824637433847585
-53.13010235415598,34.53684686074327
-51.41460180733972,35.067796279248824
-49.559950087411835,35.67494644915679
-47.20259816176582,36.50140009902912
-45.0,37.33536087894904
-42.6140559696112,38.31495610578791
-41.34777721969368,38.87075713969661
-39.65694424142484,39.65598890254584
-36.3843518158359,41.335207671140196
-33.690067525979785,42.9045025490293
-31.733519153416296,44.17127798692532
-28.66395711028153,46.42133815635307
-25.64100582430528,49.030242771005305
