Frame,Lowest Safe Speed,Vehicles Safe Speeds
0,Not Detected,
1,Not Detected,
2,Not Detected,
3,Not Detected,
4,Not Detected,
5,Not Detected,
6,Not Detected,
7,Not Detected,
8,Not Detected,
9,51.19656062495037,Track 1: 51.20 km/h
10,50.28762387254039,Track 1: 50.29 km/h
11,49.93683842646879,Track 1: 49.94 km/h
12,49.9587407892753,Track 1: 49.96 km/h
13,48.995433111875975,Track 1: 49.00 km/h
14,48.31956443943993,Track 1: 48.32 km/h
15,48.47546299619337,Track 1: 48.48 km/h
16,47.77060848635121,Track 1: 47.77 km/h
17,46.972644393189775,Track 1: 46.97 km/h
18,45.7495617454675,Track 1: 45.75 km/h
19,44.49161879575081,Track 1: 44.49 km/h
20,inf,Track 1: inf km/h
21,inf,Track 1: inf km/h
22,inf,Track 1: inf km/h
23,inf,Track 1: inf km/h
24,inf,Track 1: inf km/h
25,inf,Track 1: inf km/h
26,inf,Track 1: inf km/h
27,inf,Track 1: inf km/h
28,inf,Track 1: inf km/h
29,inf,Track 1: inf km/h
30,inf,Track 1: inf km/h
31,inf,Track 1: inf km/h
32,inf,Track 1: inf km/h
33,inf,Track 1: inf km/h
34,inf,Track 1: inf km/h
35,inf,Track 1: inf km/h
36,inf,Track 1: inf km/h
37,inf,Track 1: inf km/h
38,inf,Track 1: inf km/h
39,Not Detected,
40,Not Detected,
41,inf,Track 1: inf km/h
42,Not Detected,
43,Not Detected,
44,Not Detected,
45,Not Detected,
46,Not Detected,
47,Not Detected,
48,Not Detected,
49,Not Detected,
50,Not Detected,
51,Not Detected,
52,Not Detected,
53,Not Detected,
54,Not Detected,
55,Not Detected,
56,Not Detected,
57,Not Detected,
58,Not Detected,
59,Not Detected,
60,Not Detected,
61,Not Detected,
62,Not Detected,
63,Not Detected,
64,Not Detected,
65,Not Detected,
66,Not Detected,
67,Not Detected,
68,Not Detected,
69,Not Detected,
70,Not Detected,
71,Not Detected,
72,Not Detected,
73,Not Detected,
74,Not Detected,
75,Not Detected,
76,Not Detected,
77,Not Detected,
78,Not Detected,
79,Not Detected,
80,Not Detected,
81,Not Detected,
82,Not Detected,
83,Not Detected,
84,Not Detected,
85,Not Detected,
86,Not Detected,
87,Not Detected,
88,Not Detected,
89,Not Detected,
90,Not Detected,
91,Not Detected,
92,Not Detected,
93,Not Detected,
94,Not Detected,
95,Not Detected,
96,Not Detected,
97,Not Detected,
98,Not Detected,
99,Not Detected,
100,Not Detected,
101,inf,Track 10: inf km/h
102,inf,Track 10: inf km/h
103,inf,Track 10: inf km/h; Track 9: inf km/h
104,inf,Track 10: inf km/h
105,inf,Track 10: inf km/h
106,inf,Track 10: inf km/h
107,inf,Track 10: inf km/h
108,inf,Track 10: inf km/h
109,inf,Track 10: inf km/h
110,inf,Track 10: inf km/h
111,inf,Track 10: inf km/h
112,inf,Track 10: inf km/h
113,inf,Track 10: inf km/h
114,inf,Track 10: inf km/h
115,44.47413195427133,Track 10: 44.47 km/h
116,45.22858981788027,Track 10: 45.23 km/h
117,44.97763067061434,Track 10: 44.98 km/h
118,44.22552736268741,Track 10: 44.23 km/h
119,inf,Track 10: inf km/h
120,44.223309449122105,Track 10: 44.22 km/h
121,44.97535091515581,Track 10: 44.98 km/h
122,44.772570796226624,Track 10: 44.77 km/h
123,46.575118885717835,Track 10: 46.58 km/h
124,46.13262227416327,Track 10: 46.13 km/h
125,46.06960421598158,Track 10: 46.07 km/h
126,45.76021338353057,Track 10: 45.76 km/h
127,46.55701291599534,Track 10: 46.56 km/h
128,47.18731332744533,Track 10: 47.19 km/h
129,48.46540811435932,Track 10: 48.47 km/h
130,48.68299188351583,Track 10: 48.68 km/h
131,49.039343111950046,Track 10: 49.04 km/h
132,52.06804273466355,Track 10: 52.07 km/h
133,51.779988763306285,Track 10: 51.78 km/h
134,51.85700702167542,Track 10: 51.86 km/h
135,52.32636786949829,Track 10: 52.33 km/h
136,51.97989653274319,Track 10: 51.98 km/h
137,51.695176887951185,Track 10: 51.70 km/h
138,52.10497648227806,Track 10: 52.10 km/h
139,53.123654440680305,Track 10: 53.12 km/h
140,52.978908041461416,Track 10: 52.98 km/h
141,53.73805853905475,Track 10: 53.74 km/h
142,53.95112717576118,Track 10: 53.95 km/h
143,54.54702905664295,Track 10: 54.55 km/h
144,55.59277810596501,Track 10: 55.59 km/h
145,55.7541823771012,Track 10: 55.75 km/h
146,57.11494718882976,Track 10: 57.11 km/h
147,58.14412336626334,Track 10: 58.14 km/h
148,58.25259206612076,Track 10: 58.25 km/h
149,58.44593242135471,Track 10: 58.45 km/h
150,59.24813127492134,Track 10: 59.25 km/h
151,60.30506989530918,Track 10: 60.31 km/h
152,61.15458376307024,Track 10: 61.15 km/h
153,60.244432769240184,Track 10: 60.24 km/h
154,59.36547625099805,Track 10: 59.37 km/h
155,59.25425568181791,Track 10: 59.25 km/h
156,61.88730346426579,Track 10: 61.89 km/h
157,62.524614059434626,Track 10: 62.52 km/h
158,62.873652950592614,Track 10: 62.87 km/h
159,63.665321978736976,Track 10: 63.67 km/h
160,62.948229984671734,Track 10: 62.95 km/h
161,63.007319608270514,Track 10: 63.01 km/h
162,63.01011288810611,Track 10: 63.01 km/h
163,62.84190612971272,Track 10: 62.84 km/h
164,63.93128016850886,Track 10: 63.93 km/h
165,65.73578461466974,Track 10: 65.74 km/h
166,67.21707307008671,Track 10: 67.22 km/h
167,67.30954772425491,Track 10: 67.31 km/h
168,69.06139422191677,Track 10: 69.06 km/h
169,70.24563195383575,Track 10: 70.25 km/h
170,69.62075191119159,Track 10: 69.62 km/h
171,72.0734967284373,Track 10: 72.07 km/h
172,72.34717962307904,Track 10: 72.35 km/h
173,74.22616183385706,Track 10: 74.23 km/h
174,Not Detected,
175,Not Detected,
176,75.48599104304057,Track 10: 75.49 km/h
177,80.24130027318382,Track 10: 80.24 km/h
178,80.83398759064585,Track 10: 80.83 km/h
179,83.4481926084045,Track 10: 83.45 km/h
180,83.68501945072816,Track 10: 83.69 km/h
181,86.25377182649392,Track 10: 86.25 km/h
182,86.40703096392099,Track 10: 86.41 km/h
183,85.3151187784879,Track 10: 85.32 km/h
184,84.70732211516236,Track 10: 84.71 km/h
185,Not Detected,
186,Not Detected,
187,Not Detected,
188,Not Detected,
189,Not Detected,
190,Not Detected,
191,Not Detected,
192,Not Detected,
193,Not Detected,
194,Not Detected,
195,Not Detected,
196,Not Detected,
197,Not Detected,
198,Not Detected,
199,Not Detected,
200,Not Detected,
201,Not Detected,
202,Not Detected,
203,Not Detected,
204,Not Detected,
205,Not Detected,
206,Not Detected,
207,Not Detected,
208,Not Detected,
209,Not Detected,
210,Not Detected,
211,Not Detected,
212,Not Detected,
213,Not Detected,
214,Not Detected,
215,Not Detected,
216,49.98503113335376,Track 12: 49.99 km/h
217,Not Detected,
218,52.26801031552426,Track 12: 52.27 km/h
219,Not Detected,
220,54.06374167649239,Track 12: 54.06 km/h
221,54.27819332391059,Track 12: 54.28 km/h
222,53.9434677228016,Track 12: 53.94 km/h
223,54.306937129708906,Track 12: 54.31 km/h
224,54.44416876220108,Track 12: 54.44 km/h
225,54.03280070703437,Track 12: 54.03 km/h
226,53.59596590262327,Track 13: inf km/h; Track 12: 53.60 km/h
227,53.684213988312884,Track 13: inf km/h; Track 12: 53.68 km/h
228,53.835555274546486,Track 13: inf km/h; Track 12: 53.84 km/h
229,56.78767112926147,Track 13: inf km/h; Track 12: 56.79 km/h
230,57.568618618213996,Track 13: inf km/h; Track 12: 57.57 km/h
231,58.00022507196363,Track 13: inf km/h; Track 12: 58.00 km/h
232,57.209117392186435,Track 13: inf km/h; Track 12: 57.21 km/h
233,56.19166662804637,Track 13: inf km/h; Track 12: 56.19 km/h
234,45.07146205632264,Track 13: 45.07 km/h; Track 12: 56.91 km/h
235,45.3366232661817,Track 13: 45.34 km/h; Track 12: 56.58 km/h
236,45.15398458850282,Track 13: 45.15 km/h; Track 12: 58.64 km/h
237,58.94233087637971,Track 13: inf km/h; Track 12: 58.94 km/h
238,60.14800690276446,Track 13: inf km/h; Track 12: 60.15 km/h
239,44.125579515493335,Track 13: 44.13 km/h; Track 12: 60.37 km/h
240,46.7055236294381,Track 13: 46.71 km/h; Track 12: 60.66 km/h
241,44.94221436284529,Track 13: 44.94 km/h; Track 12: 61.89 km/h
242,46.34685972371807,Track 13: 46.35 km/h; Track 12: 61.63 km/h
243,45.23608116924787,Track 13: 45.24 km/h; Track 12: 61.22 km/h
244,45.14661321262441,Track 13: 45.15 km/h; Track 12: 61.51 km/h
245,45.91533952090862,Track 13: 45.92 km/h; Track 12: 60.83 km/h
246,46.7465082669952,Track 13: 46.75 km/h; Track 12: 61.42 km/h
247,47.0788452846907,Track 13: 47.08 km/h; Track 12: 62.29 km/h
248,47.27434570892581,Track 13: 47.27 km/h; Track 12: 61.45 km/h
249,47.92621724906617,Track 13: 47.93 km/h; Track 12: 61.62 km/h
250,48.220404773533765,Track 13: 48.22 km/h; Track 12: 61.85 km/h
251,48.9815588305308,Track 13: 48.98 km/h; Track 12: 62.79 km/h
252,49.6596435770064,Track 13: 49.66 km/h; Track 12: 63.05 km/h
253,49.427249006352135,Track 13: 49.43 km/h; Track 12: 61.11 km/h
254,49.61235052592279,Track 13: 49.61 km/h; Track 12: 62.64 km/h
255,49.41912249290501,Track 13: 49.42 km/h
256,51.11745830395944,Track 13: 51.12 km/h
257,51.60089082170724,Track 13: 51.60 km/h
258,52.61670371436836,Track 13: 52.62 km/h
259,53.44246975245613,Track 13: 53.44 km/h
260,53.796688797601085,Track 13: 53.80 km/h
261,54.990549925007,Track 13: 54.99 km/h
262,55.710543882707086,Track 13: 55.71 km/h
263,54.53380749285684,Track 13: 54.53 km/h
264,54.53561878094272,Track 13: 54.54 km/h
265,53.8391733490965,Track 13: 53.84 km/h; Track 14: 62.45 km/h
266,54.78383806903473,Track 13: 54.78 km/h; Track 14: 64.97 km/h
267,54.5895871472055,Track 13: 54.59 km/h; Track 14: 64.85 km/h
268,54.34516941702219,Track 13: 54.35 km/h; Track 14: 65.18 km/h
269,55.379271271148355,Track 13: 55.38 km/h; Track 14: 63.79 km/h
270,54.702683963517735,Track 13: 54.70 km/h; Track 14: 62.99 km/h
271,54.32317903769733,Track 13: 54.32 km/h; Track 14: 62.36 km/h
272,54.28656143055227,Track 13: 54.29 km/h; Track 14: 62.40 km/h
273,56.386437656252944,Track 13: 56.39 km/h; Track 14: 63.64 km/h
274,56.62624946883071,Track 13: 56.63 km/h; Track 14: 65.84 km/h
275,56.56616983519583,Track 13: 56.57 km/h; Track 14: 68.09 km/h; Track 15: inf km/h
276,58.00794034076822,Track 13: 58.01 km/h; Track 14: 67.98 km/h; Track 15: inf km/h
277,58.23622020486907,Track 13: 58.24 km/h; Track 14: 65.98 km/h; Track 15: inf km/h
278,44.5188367567244,Track 13: 58.17 km/h; Track 14: 65.53 km/h; Track 15: 44.52 km/h
279,44.67388226733757,Track 13: 59.28 km/h; Track 14: 67.87 km/h; Track 15: 44.67 km/h
280,60.67252872748506,Track 13: 60.67 km/h; Track 14: 65.82 km/h; Track 15: inf km/h
281,45.50502233935798,Track 13: 61.38 km/h; Track 15: 45.51 km/h
