0,0,0,0,0,0,0,0,162.23
1,0,0,0,0,0,0,0,171.22
2,0,0,0,0,0,0,0,164.21
3,0,0,0,0,0,0,0,165.88
0,1,0,0,0,0,0,0,118.41
1,1,0,0,0,0,0,0,86.42
2,1,0,0,0,0,0,0,138.15
3,1,0,0,0,0,0,0,121.31
0,2,0,0,0,0,0,0,118.09
1,2,0,0,0,0,0,0,102.05
2,2,0,0,0,0,0,0,135.71
3,2,0,0,0,0,0,0,95.356
0,0,1,0,0,0,0,0,154.39
1,0,1,0,0,0,0,0,179.27
2,0,1,0,0,0,0,0,161.69
3,0,1,0,0,0,0,0,164.29
0,1,1,0,0,0,0,0,85.975
1,1,1,0,0,0,0,0,76.967
2,1,1,0,0,0,0,0,124.08
3,1,1,0,0,0,0,0,102.34
0,2,1,0,0,0,0,0,150.7
1,2,1,0,0,0,0,0,110.75
2,2,1,0,0,0,0,0,184.52
3,2,1,0,0,0,0,0,148.46
0,0,2,0,0,0,0,0,213.35
1,0,2,0,0,0,0,0,199.02
2,0,2,0,0,0,0,0,199.65
3,0,2,0,0,0,0,0,204.96
0,1,2,0,0,0,0,0,88.116
1,1,2,0,0,0,0,0,72.424
2,1,2,0,0,0,0,0,148.59
3,1,2,0,0,0,0,0,99.594
0,2,2,0,0,0,0,0,128.54
1,2,2,0,0,0,0,0,107.25
2,2,2,0,0,0,0,0,135.9
3,2,2,0,0,0,0,0,96.26
0,0,0,1,0,0,0,0,92.939
1,0,0,1,0,0,0,0,83.1
2,0,0,1,0,0,0,0,97.617
3,0,0,1,0,0,0,0,77.117
0,1,0,1,0,0,0,0,53.244
1,1,0,1,0,0,0,0,47.102
2,1,0,1,0,0,0,0,61.698
3,1,0,1,0,0,0,0,46.384
0,2,0,1,0,0,0,0,78.73
1,2,0,1,0,0,0,0,53.677
2,2,0,1,0,0,0,0,110.91
3,2,0,1,0,0,0,0,47.68
0,0,1,1,0,0,0,0,96.976
1,0,1,1,0,0,0,0,91.928
2,0,1,1,0,0,0,0,111.69
3,0,1,1,0,0,0,0,109
0,1,1,1,0,0,0,0,46.653
1,1,1,1,0,0,0,0,49.238
2,1,1,1,0,0,0,0,66.166
3,1,1,1,0,0,0,0,57.122
0,2,1,1,0,0,0,0,83.267
1,2,1,1,0,0,0,0,48.16
2,2,1,1,0,0,0,0,116.76
3,2,1,1,0,0,0,0,61.653
0,0,2,1,0,0,0,0,111.87
1,0,2,1,0,0,0,0,79.577
2,0,2,1,0,0,0,0,139.75
3,0,2,1,0,0,0,0,115.72
0,1,2,1,0,0,0,0,41.971
1,1,2,1,0,0,0,0,43.478
