Frame,Lowest Safe Speed,Vehicles Safe Speeds
0,Not Detected,
1,Not Detected,
2,Not Detected,
3,Not Detected,
4,Not Detected,
5,Not Detected,
6,Not Detected,
7,Not Detected,
8,Not Detected,
9,57.983747849276156,Track 1: 57.98 km/h; Track 2: 62.11 km/h
10,57.42858136858173,Track 1: 57.43 km/h; Track 2: 62.74 km/h
11,57.49694531627855,Track 1: 57.50 km/h; Track 2: 61.30 km/h
12,57.163095586840925,Track 1: 57.16 km/h; Track 2: 60.22 km/h
13,56.87150749063904,Track 1: 56.87 km/h; Track 2: 60.54 km/h
14,56.14463119316402,Track 1: 56.14 km/h; Track 2: 60.28 km/h
15,56.44687850336312,Track 1: 56.45 km/h; Track 2: 60.33 km/h
16,55.15603638414725,Track 1: 55.16 km/h; Track 2: 58.73 km/h
17,54.783789337894014,Track 1: 54.78 km/h; Track 2: 58.73 km/h
18,53.629482029695545,Track 1: 53.63 km/h; Track 2: 58.20 km/h
19,53.51170218286662,Track 1: 53.51 km/h; Track 2: 57.26 km/h; Track 3: 55.62 km/h
20,54.08196720946913,Track 1: 54.08 km/h; Track 2: 57.99 km/h; Track 3: 54.43 km/h
21,52.56905022448005,Track 1: 52.57 km/h; Track 2: 56.51 km/h; Track 3: 53.86 km/h
22,52.19709422475367,Track 1: 52.20 km/h; Track 2: 55.45 km/h; Track 3: 53.47 km/h
23,51.595092114206345,Track 1: 51.60 km/h; Track 2: 54.89 km/h
24,51.20186761787693,Track 1: 51.20 km/h; Track 2: 54.25 km/h
25,50.71458869828225,Track 1: 50.71 km/h; Track 2: 54.67 km/h
26,50.42928182931334,Track 1: 50.43 km/h; Track 2: 54.39 km/h
27,49.953034509810124,Track 1: 49.95 km/h; Track 2: 53.40 km/h
28,49.511316621887694,Track 1: 49.51 km/h; Track 2: 52.83 km/h
29,49.69061134126597,Track 1: 49.69 km/h; Track 2: 52.60 km/h
30,49.12703329522988,Track 1: 49.13 km/h; Track 2: 52.55 km/h
31,48.68752291599268,Track 1: 48.69 km/h; Track 2: 51.84 km/h
32,48.079389303330906,Track 1: 48.08 km/h; Track 2: 51.19 km/h
33,48.086113702967175,Track 1: 48.09 km/h; Track 2: 51.09 km/h
34,47.64984695714208,Track 1: 47.65 km/h; Track 2: 50.70 km/h
35,50.375470977171766,Track 2: 50.38 km/h
36,49.99878516590584,Track 2: 50.00 km/h
37,49.610451169429766,Track 2: 49.61 km/h
38,48.883147348821176,Track 2: 48.88 km/h
39,48.09114507748055,Track 2: 48.09 km/h
40,47.91949929919904,Track 2: 47.92 km/h
41,47.03471112160644,Track 2: 47.03 km/h
42,45.91895288848603,Track 2: 45.92 km/h; Track 1: inf km/h
43,45.74593499807012,Track 2: 45.75 km/h; Track 1: inf km/h
44,45.839759699805775,Track 2: 45.84 km/h; Track 1: inf km/h
45,44.37299263725558,Track 2: 44.37 km/h; Track 1: inf km/h
46,inf,Track 2: inf km/h
47,inf,Track 2: inf km/h
48,inf,Track 2: inf km/h; Track 1: inf km/h
49,inf,Track 2: inf km/h; Track 1: inf km/h
50,inf,Track 1: inf km/h; Track 3: inf km/h
51,inf,Track 1: inf km/h
52,inf,Track 1: inf km/h
53,inf,Track 1: inf km/h
54,inf,Track 1: inf km/h
55,inf,Track 1: inf km/h
56,inf,Track 1: inf km/h; Track 2: inf km/h
57,inf,Track 1: inf km/h; Track 2: inf km/h
58,inf,Track 2: inf km/h
59,inf,Track 1: inf km/h
60,inf,Track 1: inf km/h; Track 2: inf km/h
61,inf,Track 1: inf km/h; Track 2: inf km/h
62,inf,Track 1: inf km/h; Track 2: inf km/h
63,inf,Track 1: inf km/h; Track 2: inf km/h
64,inf,Track 1: inf km/h; Track 2: inf km/h
65,inf,Track 2: inf km/h
66,Not Detected,
67,Not Detected,
68,inf,Track 2: inf km/h
69,inf,Track 2: inf km/h
70,inf,Track 2: inf km/h
71,inf,Track 2: inf km/h
72,inf,Track 2: inf km/h
73,inf,Track 2: inf km/h
74,inf,Track 2: inf km/h
75,inf,Track 2: inf km/h
76,inf,Track 2: inf km/h
77,inf,Track 2: inf km/h
78,inf,Track 2: inf km/h
79,inf,Track 2: inf km/h
80,inf,Track 2: inf km/h
81,Not Detected,
82,Not Detected,
83,Not Detected,
84,Not Detected,
85,Not Detected,
86,Not Detected,
87,Not Detected,
88,Not Detected,
89,Not Detected,
90,Not Detected,
91,Not Detected,
92,Not Detected,
93,Not Detected,
94,Not Detected,
95,Not Detected,
96,Not Detected,
97,Not Detected,
98,Not Detected,
99,Not Detected,
100,Not Detected,
101,Not Detected,
102,Not Detected,
103,Not Detected,
104,Not Detected,
105,45.28004462681381,Track 14: 45.28 km/h
106,46.954662230451426,Track 14: 46.95 km/h
107,47.604738400332195,Track 14: 47.60 km/h
108,48.729502752198925,Track 14: 48.73 km/h
109,49.09046339352896,Track 14: 49.09 km/h
110,49.58388444524781,Track 14: 49.58 km/h
111,50.236716046733754,Track 14: 50.24 km/h; Track 17: 54.79 km/h
112,51.38961641986881,Track 14: 51.39 km/h; Track 17: 53.95 km/h; Track 18: 61.98 km/h
113,51.89600581857794,Track 14: 51.90 km/h; Track 17: 54.10 km/h; Track 18: 63.17 km/h
114,53.080802110879745,Track 14: 53.08 km/h; Track 17: 54.17 km/h; Track 18: 63.70 km/h
115,54.1507709649064,Track 14: 54.15 km/h; Track 17: 54.92 km/h; Track 18: 64.60 km/h
116,54.74413308676899,Track 14: 54.74 km/h; Track 17: 55.80 km/h; Track 18: 64.96 km/h
117,54.73121567477084,Track 14: 54.73 km/h; Track 17: 56.41 km/h; Track 18: 65.22 km/h
118,54.6963969994968,Track 14: 54.70 km/h; Track 17: 57.53 km/h; Track 18: 67.13 km/h
119,54.93692685814513,Track 14: 54.94 km/h; Track 17: 58.15 km/h; Track 18: 68.24 km/h
120,56.06156327603722,Track 14: 56.06 km/h; Track 17: 58.36 km/h; Track 18: 70.20 km/h
121,57.50435326591588,Track 14: 57.50 km/h; Track 17: 59.15 km/h; Track 18: 70.38 km/h
122,58.57241086427231,Track 14: 58.57 km/h; Track 17: 59.37 km/h; Track 18: 71.71 km/h
123,58.06019850457476,Track 14: 58.06 km/h; Track 17: 60.20 km/h; Track 18: 71.71 km/h
124,58.903352548104166,Track 14: 58.90 km/h; Track 17: 60.71 km/h; Track 18: 71.75 km/h
125,59.281035433849965,Track 14: 59.28 km/h; Track 17: 60.66 km/h; Track 18: 69.35 km/h
126,60.15797465060223,Track 14: 60.16 km/h; Track 17: 60.97 km/h; Track 18: 70.97 km/h
127,61.15065795843901,Track 14: 61.15 km/h; Track 17: 62.56 km/h; Track 18: 73.47 km/h
128,62.098401389070595,Track 14: 62.10 km/h; Track 17: 62.99 km/h; Track 18: 73.83 km/h
129,62.861596017809234,Track 14: 63.42 km/h; Track 17: 62.86 km/h; Track 18: 73.50 km/h
130,62.539136028220355,Track 14: 62.54 km/h; Track 17: 62.80 km/h; Track 18: 73.29 km/h
131,62.234006440347294,Track 14: 62.23 km/h; Track 17: 62.60 km/h; Track 18: 72.57 km/h
132,62.98817760165891,Track 14: 63.75 km/h; Track 17: 62.99 km/h; Track 18: 73.00 km/h
133,62.78044961224494,Track 14: 65.60 km/h; Track 17: 62.78 km/h; Track 18: 73.63 km/h
134,63.56022880344968,Track 14: 66.74 km/h; Track 17: 63.56 km/h; Track 18: 75.23 km/h
135,64.52908149352847,Track 14: 69.30 km/h; Track 17: 64.53 km/h; Track 18: 75.83 km/h
136,64.94663584676654,Track 14: 69.75 km/h; Track 17: 64.95 km/h; Track 18: 76.93 km/h
137,65.55069319928089,Track 14: 65.55 km/h; Track 17: 65.83 km/h; Track 18: 77.33 km/h
138,66.62765011439038,Track 14: 67.12 km/h; Track 17: 66.63 km/h; Track 18: 77.48 km/h
139,66.16339150164538,Track 14: 66.16 km/h; Track 17: 66.26 km/h; Track 18: 76.24 km/h
140,65.58833819683096,Track 14: 65.59 km/h; Track 17: 67.00 km/h; Track 18: 77.60 km/h
141,65.73934636240499,Track 14: 65.74 km/h; Track 17: 66.50 km/h; Track 18: 79.05 km/h
142,66.76892770616621,Track 14: 68.33 km/h; Track 17: 66.77 km/h; Track 18: 77.44 km/h
143,68.18954246196316,Track 14: 68.94 km/h; Track 17: 68.19 km/h; Track 18: 78.26 km/h
144,69.42695415248048,Track 14: 69.88 km/h; Track 17: 69.43 km/h; Track 18: 79.08 km/h
145,68.20916725812502,Track 14: 70.63 km/h; Track 17: 68.21 km/h; Track 18: 79.99 km/h
146,68.81530605654712,Track 14: 71.37 km/h; Track 17: 68.82 km/h; Track 18: 80.49 km/h
147,68.26753273255615,Track 14: 71.41 km/h; Track 17: 68.27 km/h; Track 18: 80.46 km/h
148,68.30233119934945,Track 14: 72.20 km/h; Track 17: 68.30 km/h; Track 18: 81.41 km/h
149,69.18011107648417,Track 14: 72.61 km/h; Track 17: 69.18 km/h; Track 18: 82.64 km/h
